Bokmal,English
skriv,write
hilse,greet
sheriff,sheriff
vanligvis,usually
virke,seem
simon,simon
smerte,pain
mexico,mexico
henge,hang
gjøres,made
bussen,bus
nord,north
fremtiden,future
seng,bed
dukker,doll
spøk,joke
hentet,picked up
hoppe,jump
regnet,rained
lengre,further
william,William
overfor,opposite
fjerne,remove
fienden,the enemy
england,England
vii,vii
morgenen,morning
meningen,the
overlever,survive
jason,jason
andy,Andy
privat,private
pratet,chatted
åpenbart,obviously
rask,fast
svin,pig
gjemme,hide
angående,regarding
drit,canal
beskytter,protector
skjule,hide
styre,control
banken,bank
drikk,drink
driter,shit
daniel,daniel
elskede,beloved
rekker,reaches
havner,harbors
øya,island
love,promise
grei,easy
kjørt,run
røre,stir
eric,Eric
amy,amy
sengen,bed
lord,lord
orker,can bear
glade,happy
naturligvis,of course
samtalen,conversation
bryllupet,wedding
skru,screw
luke,Hatch
jævelen,damn
politimann,policeman
frihet,freedom
bryter,switch
mørket,the dark
omkring,about
stolte,proud
firmaet,company
adam,adam
tanke,thought
luft,air
ulovlig,illegal
les,read
jepp,yard
voksen,adult
ed,oath
tviler,doubt
pakke,package
syv,seven
sko,shoe
dekk,deck
ringen,ring
sørg,sorrow
knust,broken
college,college
lady,lady
brøt,broke
kilometer,kilometer
viktige,important
d,d
biler,cars
feiler,fail
båt,boat
regler,rules
mottatt,received
late,pretend
partner,partner
bygningen,building
kjøtt,meat
nylig,recently
gråt,blubber
leilighet,apartment
latterlig,ridiculous
samle,collect
raskere,faster
kevin,kevin
virkelige,real
forventer,expects
sporet,tracked
mobilen,mobile
bråk,noise
vokste,wage
musikken,music
damen,lady
tingen,thing
boka,book
feire,celebrate
passet,passport
skole,school
halvt,half
per,per
karene,guys
fjor,year
ulike,different
delen,the part
kle,dress
tolv,twelve
forlatt,abandoned
morderen,killer
rekke,raise
låst,lock
brødre,brothers
sterkere,stronger
drakk,drank
skaper,creator
e,e
baren,bar
stasjonen,station
foreslår,suggests
barry,barry
drive,guide
strålende,glorious
verst,worst
hank,hand
regjeringen,the government
lagde,made
spurt,asked
forsvinn,disappear
sterke,powerful
truet,threatened
kysse,kiss
mørke,darkness
oh,oh
puste,breathe
oliver,Oliver
fader,father
scenen,scene
helgen,saint
majestet,majesty
rører,stir
smil,smile
tøft,tough
forsvinne,disappear
personen,person
varme,heat
skai,skai
ild,fire
mester,master
farten,the speed
uka,week
lange,long
stanse,stop
mørkt,dark
suger,suck
skremmer,scare
vidt,widely
matt,mat
gjemmer,hide
foretrekker,prefer
gruppe,group
javel,Oh well
hen,then
egg,egg
forsto,understood
trygge,safe
slem,naughty
situasjon,situation
skritt,step
skapt,created
tydelig,clear
sur,sour
snilt,kind
prisen,price
ferie,holiday
kul,cool
danser,dancer
begynn,begin
grensen,border
lede,lead
mors,mother's
planlagt,planned
forskjellige,different
solgt,sold
dans,dance
solen,sun
byttet,prey
felles,common
tape,tape
fortiden,currently
nøye,carefully
tanker,mind
snakkes,talk
arthur,arthur
søte,sweet
ri,ride
press,strain
tankene,mind
våknet,woke up
kelly,kelly
presentere,present
måter,ways
advokaten,the lawyer
maggie,maggie
texas,texas
fantes,existed
nyhetene,news
flykte,escape
gjett,guess
trodd,believed
lucy,lucy
fart,speed
kald,cold
susan,Susan
komplisert,complicated
rose,rose
fatter,understand
jones,jones
handle,trade
våkner,wakes
do,die
falle,fall
gjeng,gang
listen,list
synger,singing
bein,leg
don,don
hatet,hate
skremte,frightening
amerikansk,American
modig,brave
forvirret,confused
lørdag,Saturday
toalettet,toilet
levere,deliver
beinet,bone
gråte,cry
au,au
fanger,catches
handlet,shopped
jorda,Earth
kameraet,camera
trøtt,tired
jerry,jerry
savne,miss
kjærligheten,love
bestemte,decided
fiender,enemies
etasje,story
myrdet,murdered
knuse,smash
brenne,burn
bestemme,decide
kopp,Cup
anelse,concern
kar,tub
fælt,terribly
syke,ill
skjebne,fate
hær,army
runde,round
hoppet,jumped
rettferdig,fair
brevet,the letter
hard,hard
ansatte,staff
sterkt,strong
dronning,queen
fortere,faster
california,california
felle,trap
skremme,scare
mistenkte,suspects
hindre,stop
hopper,jump
hjemmet,home
villig,willing
vist,shown
penny,penny
phil,phil
tapt,lost
bud,messenger
doc,doc
jord,earth
røyk,smoke
alan,alan
drapet,murder
latt,let
samtale,conversation
årevis,years
lyden,sound
trener,coach
middagen,dinner
ansvarlig,responsible
hode,head
kilo,kilo
følelse,feeling
lyder,sounds
kurs,course
meste,most
t,t
los,loose
førte,lead
tenner,teeth
forsvare,defend
skjønte,realized
smaker,taste
posisjon,position
vaske,wash
alice,alice
arbeide,work
miles,miles
gråter,cries
merker,brands
oppmerksomhet,attention
visse,certain
kong,king
ante,ante
later,later
offer,victim
dop,baptism
al,eel
forholdet,relationship
våger,dare
ålreit,eel
oppfører,lists
travelt,busy
forslag,suggestion
forskjell,difference
hånda,hand
bad,bath
avslutte,graduate
hemmeligheter,secrets
mareritt,nightmare
kropp,body
tomt,empty
vold,violence
regner,rains
levde,lived
fungere,operate
søren,south
forsvunnet,disappeared
howard,Howard
ensom,lonely
skam,shame
adressen,address
turen,trip
høye,tall
involvert,involved
sannsynligvis,probably
panikk,panic
søvn,sleep
luften,air
roger,roger
svak,weak
tapte,lost
brian,brian
badet,bathed
kjelleren,basement
porten,gate
unntatt,except
takler,tackles
fengselet,prison
frankrike,France
klasse,class
kim,germ
programmet,program
vits,joke
hotell,hotel
bøker,books
leonard,leonard
dekket,covered
forklarer,explain
morgan,morgan
big,big
ofre,sacrifice
ryan,ryan
liste,list
pike,girl
lykkes,succeed
linda,linda
rar,weird
data,data
kysset,kiss
forbanna,damn
blind,blind
lisa,lisa
ted,ted
smak,taste
helvetes,hell
bygget,built
varer,goods
kvinnene,the women
løfte,lift
hjørnet,corner
offentlig,public
skapte,created
hjelpen,help
behold,retain
filmer,Movies
hjel,involvement
flyplassen,airport
mandag,Monday
skoene,shoes
stod,stood
ballen,ball
område,area
enkelte,individual
støtter,supports
valget,the election
whisky,whiskey
vunnet,win
skuffet,disappointed
chuck,chuck
opprørt,upset
chicago,chicago
stjeler,steal
halve,half
larry,larry
flotte,great
blomster,blossom
rotet,mess
melding,Message
medisin,medicine
forandrer,change
dust,dust
uvanlig,unusual
dagens,today's
grace,grace
styrer,board
dømt,convict
erfaring,experience
kjolen,dress
kniven,the knife
sakte,slow
drev,drive
overlevde,survived
ekteskap,marriage
etterforsker,investigator
myndighetene,the authorities
reist,traveled
sjalu,jealous
fransk,French
rick,rick
null,zero
føttene,the feet
joey,joey
amen,amen
angår,concern
enkel,simple
presset,pressed
anne,other
sparket,kick
jakt,hunt
hjulpet,helped
via,via
brukes,used
ment,intended
uken,week
tilgang,access
nære,close
åpent,open
bringe,bring
skaff,get
gårde,farm
manns,man
innrømme,admit
high,high
perfekte,perfect
forventet,expected
føltes,felt
purk,push
elendig,awful
søndag,Sunday
takknemlig,grateful
rumpa,ass
bygger,builder
håpe,hope
el,electricity
dagene,days
fremmede,strangers
bombe,bomb
beveger,move
været,weather
dronningen,queen
jacob,jacob
angripe,raid
sangen,song
lek,play
hester,horses
ferd,journey
armene,arms
kødd,flesh
lufta,the air
idioter,idiots
dekke,cover
djevelen,the devil
tør,dare
møt,against
selskapet,company
årsak,cause
planeten,the planet
jeff,jeff
behandlet,treated
radioen,radio
ligg,lie
kjekk,handsome
gary,gary
avstand,distance
forklaring,explanation
klubben,club
pressen,press
behov,need
bomben,bomb
beviser,proves
lytter,listener
takle,tackle
falske,fake
innblandet,involved
broen,bridge
van,van
julia,julia
elizabeth,elizabeth
forberedt,prepared
ansvaret,responsibility
imponerende,impressive
sviktet,betrayed
spar,save
overhodet,whatsoever
foten,foot
monster,pattern
tilbud,offer
snille,kind
hestene,horses
kniv,knife
emily,emily
ordene,words
europa,Europe
angriper,aggressor
slappe,relax
voksne,adult
tim,hour
nytte,benefit
forstyrrer,disturb
langs,along
drukket,drank
kamera,camera
reiste,travelled
månen,moon
gaten,street
energi,Energy
flaske,bottle
veier,roads
sjelen,soul
bekreftet,confirmed
prins,prince
løsning,solution
lås,lock
innså,realized
skjebnen,fate
tilby,offer
rydde,tidy
lyd,noise
roma,rome
dyktig,skilful
papirene,the papers
vennlig,friendly
takker,thank
skjuler,hides
vokser,grow
tider,times
spilt,play
fikset,fixed
husket,remembered
viktigere,more important
fiende,enemy
øyet,eye
mars,March
publikum,audience
tidspunkt,point
st.,st.
banker,banks
lavt,low
dekker,cover
tennene,teeth
elva,the river
bringer,bring
cia,CIA
hagen,garden
plikt,duty
skilt,divorced
brent,burnt
innenfor,within
victor,Victor
muligheten,possibility
v,V
offeret,the victim
vegne,behalf
utro,unfaithful
fingrene,fingers
uhell,accident
b,b
skapet,closet
naken,naked
jackson,jackson
ekteskapet,marriage
innser,realize
nettet,net
treffes,hit
rosa,pink
sjelden,rarely
spre,spread
dødd,dead
trykk,Print
heldige,lucky
hunder,dog
tvang,compulsion
smith,smith
gifter,toxins
spore,incentive
fjernet,removed
stil,style
gudene,gods
damene,the ladies
rasshøl,asshole
prinsesse,princess
smerten,pain
vitner,witnesses
følelsen,feeling
you,you
forestille,imagine
senator,senator
marcus,marcus
uskyldige,innocent
park,park
usas,America's
ranet,robbed
skylden,blame
fremmed,stranger
gammelt,old
nektet,denied
ron,ron
kontrollere,control
hysj,hush
bryllup,wedding
planlegger,plan
gjenta,repeat
clark,clark
emma,Emma
vinden,wind
drømmen,dream
trakk,pulled
fot,foot
dersom,if
pete,pet
dekning,coverage
donna,donna
tja,bar
knuller,fuck
beskyttet,protected
fa,few
ekkelt,disgusting
leiren,camp
bit,bit
redder,editor
partneren,partner
nakken,neck
urolig,uneasy
delta,participate
ide,idea
hemmelige,secret
jessica,jessica
fløy,flew
marty,marty
brutt,broken
sheldon,sheldon
buksene,pants
tilbyr,client
vettet,wet
deretter,thereafter
teamet,team
sies,said
beskjeden,modest
grader,degrees
roy,roy
sider,sides
staten,the state
grunner,Reasons
retning,direction
beskyttelse,protection
eiendom,property
invitert,invited
nivå,level
stykke,piece
skifte,shift
tett,closely
vaktene,guards
normal,normal
besatt,possessed
undersøke,survey
kjøp,buy
fylle,fill
vilt,wild
falsk,false
naturlig,natural
biter,pickle
skjult,candid
ideer,ideas
ligget,lying
atjeg,that I
verd,worth
angeles,angeles
rettferdighet,fairness
fakta,facts
tillit,trust
frykter,fear
vekke,arouse
heldigvis,Luckily
vest,west
banke,bank
skjønt,though
rømme,sour cream
black,black
fjerde,fourth
vedder,bet
tekst,text
yngre,younger
tog,train
historier,stories
klem,Hug
melk,milk
sekund,second
følt,felt
syn,sight
vegas,vegas
endrer,changing
tap,loss
trussel,threat
seier,victory
skjønne,understand
treet,the tree
leit,look
galskap,madness
purken,ceiling
signal,signal
knullet,fuck
skaffer,obtain
sykdom,disease
tungt,heavy
krefter,forces
fritt,free
gjengen,gang
stygg,ugly
tosk,fool
gjester,guest
annie,annie
rapporten,report
levd,lived
nærmeste,closest
river,tear
sanne,True
jackie,jackie
forbudt,forbidden
grønne,green
behandler,therapist
følelsene,feelings
sofaen,couch
fylt,filled
teknisk,technical
kreft,cancer
kontakter,contact
tomme,empty
lukket,close
definitivt,definitely
pluss,plus
timen,the hour
regel,rule
gav,gift
am,am
gjemt,hidden
laura,laura
julie,Julie
r,r
skaffet,obtained
pund,pound
engel,angel
banket,knocked
fulgt,follow
April,April
russerne,the Russians
informasjonen,information
roe,row
eventyr,fairytale
andrew,Andrew
krangle,quarrel
junior,junior
romantisk,romantic
dommeren,judge
gjeld,debt
prest,priest
steven,steven
sør,south
pene,pretty
king,king
hatten,hat
operasjon,operation
kostet,cost
forbindelse,connection
molly,molly
vokse,grow
blør,bleeds
sørger,mourn
stått,stood
gjette,guess
inviterte,invited
oppgave,task
knuste,smash
angre,regret
fordømte,condemn
røyker,smoker
ordrer,orders
magi,magic
avisen,newspaper
ond,evil
rødt,red
dreier,turn
johnson,Johnson
jammen,jam
typisk,typical
etterlot,left
stoff,fabric
kina,China
hell,hell
bodd,lived
kortet,card
kjempebra,Very good
plage,bother
ukjent,unknown
skremmende,terrifying
strømmen,the electricity
samler,collector
endte,ended
brandon,brandon
stilig,cool
forskjellen,the difference
nina,nina
sean,sean
stinker,stink
grave,dig
m,with
menneskelig,human
kjole,dress
jenny,jenny
katt,cat
gården,farm
still,exhibit
nemlig,in fact
døende,dying
rare,weird
fantastiske,wonderful
stygt,ugly
billig,cheap
parken,park
pikken,dick
kontakte,contact
personlige,personal
stilling,score
skitne,dirty
rapport,report
tåler,tolerate
erik,erik
terry,terry
sovet,slept
kartet,map
sykt,sick
kler,clothes
tyskerne,the Germans
pizza,pizza
gjest,guest
lily,lily
frivillig,voluntary
trolig,probably
advarsel,warning
drittsekken,assembly
hannah,Hannah
æren,credit
viss,certain
gjemte,hide
miller,Miller
spesielle,special
avgjørelse,decision
charlotte,charlotte
mistenkt,suspect
sommeren,summer
behandle,treat
tysk,German
eksisterer,exists
brann,fire
onkelen,uncle
kylling,chicken
tyskland,Germany
presse,press
plassen,place
mirakel,miracle
opplevd,experience
krav,claim
fitte,pussy
linje,line
landsbyen,the village
våkn,awake
kranglet,argued
forbannet,cursed
gjentar,repeat
spare,save
sliten,tired
toby,tooby
yeah,yeah
brød,bread
bøkene,the books
sverd,sword
restauranten,the restaurant
urettferdig,unjust
straff,penalty
kokain,cocaine
utstyret,equipment
fortjent,deserved
velsigne,bless
sittet,seated
suksess,success
aller,all
andres,other's
forsøkte,attempted
tvinge,coerce
humør,mood
blås,blow
tabbe,mistake
røyke,smoke
kunst,art
adgang,access
kledd,dressed
doug,booth
operasjonen,operation
lytte,listen
utsatt,exposed
fotball,soccer
miami,miami
rive,tear
pasient,patient
muligheter,possibilities
bekymrer,worries
fæl,gruesome
banen,path
samarbeide,cooperate
framtiden,future
stan,stan
carlos,carlos
pinlig,embarrassing
maskinen,machine
gar,gar
farge,color
mil,mile
kidnappet,kidnapped
radio,radio
nyte,enjoy
virkeligheten,reality
ansatt,employee
dørene,doors
basert,based
bravo,bravo
supert,Super
smake,taste
antakelig,probably
kriger,Warrior
west,West
eva,eva
wilson,wilson
fjellet,mountain
drømte,dreamed
kode,code
carter,Carter
framme,promote
interesse,interest
huden,skin
ført,fast
kake,cake
reisen,the journey
tilfeldig,random
måneden,month
adresse,address
geni,genius
sommer,summer
språk,language
villet,wild
jay,Jay
louis,louis
nesen,nose
fæle,terrible
forbrytelse,crime
ektemann,husband
stranden,beach
taylor,taylor
avsløre,disclose
velg,choose
torsdag,Thursday
tåpelig,foolish
lokale,local
muligens,possibly
risikere,risk
umiddelbart,immediately
lykkelige,happy
oversatt,translated
tall,number
leo,leo
teit,stupid
norsk,Norwegian
grav,grave
detaljer,detail
nysgjerrig,curious
ballene,balls
ledet,led
vakter,guards
sheriffen,sheriff
regne,count
ovenpå,top
stolen,chair
stjerne,star
bånd,band
klient,client
lide,suffer
skuespiller,actor
cole,coole
hvil,break
bjørn,bear
pusten,breath
dylan,dylan
innsiden,inside
unnskylde,excuse
opplysninger,information
vidunderlig,wonderful
gullet,gold
gudskjelov,goddess
fjern,remote
forstyrre,disturb
elven,river
innse,realize
rir,rimes
problemene,problems
okei,okay
kutte,cut
tips,timer
midten,middle
håndtere,handle
etterforskningen,the investigation
angrer,regret
carrie,carrie
tilbød,offer
vende,turn
alkohol,alcohol
skriker,screams
flyktet,fled
hitler,Hitler
sjanser,chances
dens,it
stenge,bar
midnatt,midnight
brystet,the chest
allikevel,still
koden,code
bensin,gasoline
lider,suffer
makten,the power
parker,park
fugl,bird
gruppen,group
svømme,swim
stygge,ugly
brødrene,brothers
desperat,desperate
samvittighet,conscience
narkotika,drug
brenda,brenda
imponert,impressed
sparke,kick
robin,robin
avdeling,department
respekterer,respect
års,year
rømte,escaped
løst,resolved
tusenvis,thousands
walker,walker
politikk,policy
indre,inner
offisielt,officially
restaurant,restaurant
cent,cent
tilbringe,spend
puster,breathe
skjære,cut
tirsdag,Tuesday
patrick,patrick
gordon,gordon
sola,sun
beholder,container
cooper,cooper
navnene,names
stenger,rods
nar,when
nathan,nathan
dobbelt,double
dna,DNA
vanskelige,difficult
overbevise,convince
rock,rock
sluppet,released
in,in
roper,shops
trene,exercise
kontrollen,control
no,no
inkludert,including
sukker,sugar
medlem,member
vender,turn
åstedet,the site
hill,hill
c,c
ørene,ears
halvtime,half hour
sikret,secured
gus,gus
kontakten,contact
gatene,streets
vitnet,witness
ombord,on board
begravelsen,the funeral
helen,helen
elliot,Elliot
kontanter,cash
signalet,signal
hengt,hung
forsøker,trying
riktige,right
katie,katie
istedenfor,instead of
enden,end
tilbudet,offer
truer,threatens
passende,appropriate
fysisk,physical
leger,doctors
forsøke,attempt
fremtid,future
lønn,payment
berlin,Berlin
ideen,idea
karl,Karl
hørtes,sounded
frankie,Frankie
farlige,dangerous
sjokk,shock
champagne,champagne
aaron,aaron
ann,other
ethan,ethan
nyt,enjoy
baller,balls
kaos,chaos
nevne,mention
kjeften,jaw
direktør,director
nr,no
show,show
hundrevis,hundreds
forsvar,defense
lat,lazy
skatten,tax
fryser,freezer
firma,company
ran,robbery
størrelse,size
pastor,pastor
vurdere,appraise
snur,turn
ledig,available
star,stands
dyrt,expensive
trynet,threat
bestille,order
spanderer,spend
bygd,vest
moderne,modern
nevnt,mentioned
rebecca,rebecca
amerikanere,Americans
livs,life
forlat,leave
talent,talent
markedet,market
tilgir,forgive
sliter,struggling
pakket,packed
sverdet,sword
byens,city
kino,cinema
stig,ladder
nancy,nancy
videoen,the video
rykter,rumours
ånd,spirit
oscar,Oscar
sorg,sorrow
såre,wound
private,private
bilene,cars
lo,laugh
hardere,have you
greiene,stuff
mac,mac
rakk,reach
høyeste,highest
øst,East
kuttet,cut
soverommet,bedroom
leie,rent
tilstand,state
bauer,bauer
familier,families
wayne,wayne
tyske,German
skyss,kiss
utstyr,equipment
rimelig,inexpensive
murphy,Murphy
sår,wound
steg,step
låter,song
enklere,simpler
spøker,jokes
ball,ball
minnet,memory
lederen,leader
advare,warning
brown,brown
selve,itself
hat,hate
kaffen,coffee
skynde,hurry
grusomt,cruel
fornuftig,reasonable
rådet,advice
slaget,battle
basen,base
nært,close
lekker,nice
francis,francis
kraftig,forceful
post,mail
ricky,ricky
sprenge,blow
afrika,Africa
media,media
triks,trick
karriere,career
fengslet,imprisoned
school,school
sjokolade,chocolate
tillegg,addition
kjerring,girlfriend
bevæpnet,armed
fyller,fill
enorm,huge
drevet,power
kofferten,the briefcase
hullet,hole
lukten,smell
godtar,accept
klager,complain
tullet,fool
skjønnhet,beauty
koste,cost
soldatene,the soldiers
arrestere,arrest
bevege,move
dom,sentence
betydde,meant
narr,fun
strøm,current
spørsmålene,the questions
showet,the show
trives,thrive
avgjøre,decide
risikerer,risks
skille,separate
hvitt,white
aften,evening
høyhet,high
offiser,officer
russisk,Russian
kopi,copy
vince,vince
jaha,jaha
taxi,taxi
oppføre,behave
gjor,do
fingeren,finger
siktet,wise
green,green
kart,map
berømt,famous
forsikre,insure
rykte,reputation
jordan,Jordan
beth,beth
medisinen,medicine
sjarmerende,charming
kontaktet,contacted
fungerte,worked
begått,committed
faktum,fact
carla,Carla
ali,ali
studere,study
desto,the
ost,East
tyv,thief
bytter,change
evner,ability
løser,solve
stilte,quiet
ronnie,ronnie
mennesket,human
behandling,treatment
brydde,cared
derek,derek
universet,the universe
oppi,uphill
bekrefte,confirm
boston,boston
helsike,health
avsluttet,end
kraften,the power
beundrer,admire
nesa,nose
livene,lives
karrieren,career
hæ,what
papirer,papers
lucas,lucas
fortjente,deserve
beslutning,decision
ross,ross
sentrum,downtown
katten,cat
invitere,invite
fullføre,complete
stukket,stabbed
planet,planet
regn,rain
super,super
kalde,cold
søke,seek
politisk,political
russland,Russia
jamie,jamie
oppnå,achieve
forleden,the other day
lincoln,lincoln
olje,oil
lagd,layer
kuler,bullet
kyle,kyle
boks,can
grønn,green
femte,fifth
tillater,allow
detaljene,details
chloe,chloe
sannhet,truth
ofrene,victims
universitetet,university
isen,ice
milliarder,billion
samfunnet,society
sjøen,sea
trening,training
homse,homse
hate,hate
juli,July
hjemmefra,from home
stede,facing
avslørt,revealed
jomfru,Virgin
utviklet,developed
fremover,forwards
søta,sweet
heks,witch
rapporter,report
jesse,jesse
